TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.codec.binary.Base58InputStream,BRANCH,1.0,5,5
org.apache.commons.codec.EncoderException,BRANCH,1.0,4,4
org.apache.commons.codec.net.Utils,BRANCH,1.0,4,4
org.apache.commons.codec.language.SoundexUtils,BRANCH,1.0,22,22
org.apache.commons.codec.digest.MurmurHash2,BRANCH,1.0,34,34
org.apache.commons.codec.digest.MurmurHash3,BRANCH,0.924812030075188,133,123
org.apache.commons.codec.digest.UnixCrypt,BRANCH,1.0,34,34
org.apache.commons.codec.binary.Base32InputStream,BRANCH,1.0,8,8
org.apache.commons.codec.binary.BaseNCodecOutputStream,BRANCH,0.0,26,0
org.apache.commons.codec.binary.Base64,BRANCH,0.9788359788359788,189,185
org.apache.commons.codec.language.bm.ResourceConstants,BRANCH,1.0,1,1
org.apache.commons.codec.language.Caverphone1,BRANCH,1.0,5,5
org.apache.commons.codec.language.Caverphone2,BRANCH,1.0,3,3
org.apache.commons.codec.net.BCodec,BRANCH,1.0,23,23
org.apache.commons.codec.language.Caverphone,BRANCH,1.0,6,6
org.apache.commons.codec.digest.Blake3,BRANCH,1.0,56,56
org.apache.commons.codec.Charsets,BRANCH,1.0,5,5
org.apache.commons.codec.digest.Crc16,BRANCH,1.0,30,30
org.apache.commons.codec.binary.Base32OutputStream,BRANCH,1.0,8,8
org.apache.commons.codec.binary.BaseNCodec,BRANCH,0.8303571428571429,112,93
org.apache.commons.codec.digest.HmacUtils,BRANCH,1.0,62,62
org.apache.commons.codec.digest.Crypt,BRANCH,1.0,12,12
org.apache.commons.codec.DecoderException,BRANCH,1.0,5,5
org.apache.commons.codec.binary.BinaryCodec,BRANCH,1.0,54,54
org.apache.commons.codec.net.QuotedPrintableCodec,BRANCH,0.956989247311828,93,89
org.apache.commons.codec.language.AbstractCaverphone,BRANCH,1.0,4,4
org.apache.commons.codec.binary.Base32,BRANCH,0.9915966386554622,119,118
org.apache.commons.codec.cli.Digest,BRANCH,0.9,40,36
org.apache.commons.codec.digest.Sha2Crypt,BRANCH,0.8666666666666667,45,39
org.apache.commons.codec.binary.Base16InputStream,BRANCH,1.0,8,8
org.apache.commons.codec.language.DaitchMokotoffSoundex,BRANCH,0.7380952380952381,126,93
org.apache.commons.codec.net.PercentCodec,BRANCH,0.974025974025974,77,75
org.apache.commons.codec.binary.Base64InputStream,BRANCH,1.0,8,8
org.apache.commons.codec.language.bm.NameType,BRANCH,1.0,1,1
org.apache.commons.codec.net.RFC1522Codec,BRANCH,1.0,23,23
org.apache.commons.codec.digest.GitIdentifiers,BRANCH,0.2916666666666667,48,14
org.apache.commons.codec.digest.Md5Crypt,BRANCH,1.0,39,39
org.apache.commons.codec.language.Nysiis,BRANCH,1.0,80,80
org.apache.commons.codec.Resources,BRANCH,1.0,3,3
org.apache.commons.codec.binary.Hex,BRANCH,1.0,50,50
org.apache.commons.codec.binary.CharSequenceUtils,BRANCH,0.6666666666666666,15,10
org.apache.commons.codec.net.QCodec,BRANCH,1.0,38,38
org.apache.commons.codec.digest.MurmurHash,BRANCH,1.0,3,3
org.apache.commons.codec.digest.XXHash32,BRANCH,1.0,23,23
org.apache.commons.codec.digest.PureJavaCrc32C,BRANCH,1.0,22,22
org.apache.commons.codec.binary.Base64OutputStream,BRANCH,1.0,8,8
org.apache.commons.codec.language.Metaphone,BRANCH,0.9704433497536946,203,196
org.apache.commons.codec.language.RefinedSoundex,BRANCH,0.9565217391304348,23,22
org.apache.commons.codec.digest.HmacAlgorithms,BRANCH,1.0,2,2
org.apache.commons.codec.language.Soundex,BRANCH,0.975,40,39
org.apache.commons.codec.language.MatchRatingApproachEncoder,BRANCH,0.9647058823529412,85,81
org.apache.commons.codec.digest.PureJavaCrc32,BRANCH,1.0,23,23
org.apache.commons.codec.language.bm.BeiderMorseEncoder,BRANCH,1.0,16,16
org.apache.commons.codec.binary.Base16,BRANCH,0.9836065573770492,61,60
org.apache.commons.codec.binary.Base58,BRANCH,0.921875,64,55
org.apache.commons.codec.binary.Base58OutputStream,BRANCH,1.0,5,5
org.apache.commons.codec.language.DoubleMetaphone,BRANCH,0.8554216867469879,498,426
org.apache.commons.codec.digest.B64,BRANCH,1.0,6,6
org.apache.commons.codec.binary.BaseNCodecInputStream,BRANCH,0.0,45,0
org.apache.commons.codec.digest.MessageDigestAlgorithms,BRANCH,1.0,1,1
org.apache.commons.codec.CharEncoding,BRANCH,1.0,1,1
org.apache.commons.codec.binary.Base16OutputStream,BRANCH,1.0,8,8
org.apache.commons.codec.net.URLCodec,BRANCH,0.96,50,48
org.apache.commons.codec.binary.AbstractBaseNCodecStreamBuilder,BRANCH,1.0,7,7
org.apache.commons.codec.binary.StringUtils,BRANCH,1.0,39,39
org.apache.commons.codec.digest.DigestUtils,BRANCH,0.9859154929577465,142,140
org.apache.commons.codec.language.ColognePhonetic,BRANCH,0.9,120,108
org.apache.commons.codec.language.bm.RuleType,BRANCH,1.0,1,1
