TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.validator.Constants,BRANCH,1.0,1,1
org.apache.commons.validator.routines.PercentValidator,BRANCH,1.0,11,11
org.apache.commons.validator.CreditCardValidator,BRANCH,0.52,50,26
org.apache.commons.validator.routines.CurrencyValidator,BRANCH,1.0,9,9
org.apache.commons.validator.routines.checkdigit.CheckDigitException,BRANCH,1.0,4,4
org.apache.commons.validator.routines.checkdigit.ISINCheckDigit,BRANCH,1.0,10,10
org.apache.commons.validator.routines.ISBNValidator,BRANCH,0.72,25,18
org.apache.commons.validator.routines.TimeValidator,BRANCH,1.0,16,16
org.apache.commons.validator.routines.BigIntegerValidator,BRANCH,0.9166666666666666,36,33
org.apache.commons.validator.Var,BRANCH,1.0,15,15
org.apache.commons.validator.routines.EmailValidator,BRANCH,0.925,40,36
org.apache.commons.validator.routines.ShortValidator,BRANCH,0.9166666666666666,24,22
org.apache.commons.validator.routines.ISINValidator,BRANCH,0.2857142857142857,14,4
org.apache.commons.validator.routines.FloatValidator,BRANCH,0.8055555555555556,36,28
org.apache.commons.validator.routines.AbstractNumberValidator,BRANCH,0.9615384615384616,104,100
org.apache.commons.validator.routines.RegexValidator,BRANCH,0.86,50,43
org.apache.commons.validator.routines.checkdigit.CASNumberCheckDigit,BRANCH,0.7,10,7
org.apache.commons.validator.routines.checkdigit.LuhnCheckDigit,BRANCH,1.0,3,3
org.apache.commons.validator.GenericValidator,BRANCH,0.975609756097561,82,80
org.apache.commons.validator.routines.checkdigit.AbstractCheckDigit,BRANCH,1.0,21,21
org.apache.commons.validator.routines.IBANValidator,BRANCH,0.9272727272727272,55,51
org.apache.commons.validator.routines.CalendarValidator,BRANCH,1.0,20,20
org.apache.commons.validator.ISBNValidator,BRANCH,1.0,2,2
org.apache.commons.validator.routines.checkdigit.ABANumberCheckDigit,BRANCH,0.8333333333333334,6,5
org.apache.commons.validator.routines.BigDecimalValidator,BRANCH,0.8666666666666667,60,52
org.apache.commons.validator.EmailValidator,BRANCH,0.38235294117647056,34,13
org.apache.commons.validator.DateValidator,BRANCH,1.0,18,18
org.apache.commons.validator.routines.DoubleValidator,BRANCH,0.9444444444444444,36,34
org.apache.commons.validator.routines.InetAddressValidator,BRANCH,0.7604166666666666,96,73
org.apache.commons.validator.Arg,BRANCH,1.0,13,13
org.apache.commons.validator.util.Flags,BRANCH,1.0,22,22
org.apache.commons.validator.routines.DateValidator,BRANCH,1.0,20,20
org.apache.commons.validator.routines.CreditCardValidator,BRANCH,0.9577464788732394,71,68
org.apache.commons.validator.routines.checkdigit.EAN13CheckDigit,BRANCH,0.8333333333333334,6,5
org.apache.commons.validator.routines.checkdigit.ISBNCheckDigit,BRANCH,1.0,13,13
org.apache.commons.validator.UrlValidator,BRANCH,0.6067415730337079,89,54
org.apache.commons.validator.routines.DomainValidator,BRANCH,0.6830357142857143,224,153
org.apache.commons.validator.routines.checkdigit.ISSNCheckDigit,BRANCH,0.9166666666666666,12,11
org.apache.commons.validator.routines.checkdigit.SedolCheckDigit,BRANCH,1.0,18,18
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit,BRANCH,1.0,12,12
org.apache.commons.validator.routines.checkdigit.ECNumberCheckDigit,BRANCH,0.7272727272727273,11,8
org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit,BRANCH,1.0,13,13
org.apache.commons.validator.ValidatorException,BRANCH,1.0,5,5
org.apache.commons.validator.routines.checkdigit.IBANCheckDigit,BRANCH,0.9310344827586207,29,27
org.apache.commons.validator.routines.ISSNValidator,BRANCH,0.8823529411764706,17,15
org.apache.commons.validator.routines.checkdigit.ISBN10CheckDigit,BRANCH,0.9166666666666666,12,11
org.apache.commons.validator.routines.AbstractFormatValidator,BRANCH,0.9444444444444444,18,17
org.apache.commons.validator.routines.AbstractCalendarValidator,BRANCH,0.9550561797752809,89,85
org.apache.commons.validator.routines.LongValidator,BRANCH,1.0,20,20
org.apache.commons.validator.routines.IntegerValidator,BRANCH,0.9166666666666666,24,22
org.apache.commons.validator.Msg,BRANCH,1.0,11,11
org.apache.commons.validator.GenericTypeValidator,BRANCH,0.8571428571428571,91,78
org.apache.commons.validator.routines.CodeValidator,BRANCH,0.9696969696969697,33,32
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit,BRANCH,1.0,25,25
org.apache.commons.validator.routines.checkdigit.ModulusTenCheckDigit,BRANCH,1.0,14,14
org.apache.commons.validator.routines.ByteValidator,BRANCH,0.9583333333333334,24,23
