TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
sample.fit.CustomerProfile,BRANCH,1.0,55,55
sample.fit.LoyaltyEngine,BRANCH,1.0,39,39
sample.fit.CustomerAccount,BRANCH,0.9818181818181818,55,54
sample.fit.InventoryItem,BRANCH,1.0,66,66
sample.fit.InventoryEngine,BRANCH,1.0,55,55
sample.fit.ExceptionRules,BRANCH,1.0,41,41
sample.fit.PaymentAttempt,BRANCH,1.0,31,31
sample.fit.RiskEngine,BRANCH,1.0,35,35
sample.fit.ProductBundle,BRANCH,1.0,34,34
sample.fit.AccountPolicyEngine,BRANCH,0.9298245614035088,57,53
sample.fit.PromotionEngine,BRANCH,0.9607843137254902,51,49
sample.fit.TextRules,BRANCH,0.9508196721311475,61,58
sample.fit.FraudSignal,BRANCH,1.0,47,47
sample.fit.CheckoutDecisionEngine,BRANCH,0.935064935064935,77,72
sample.fit.DeviceProfile,BRANCH,1.0,65,65
sample.fit.CheckoutContext,BRANCH,1.0,25,25
sample.fit.ShippingEngine,BRANCH,0.9714285714285714,35,34
sample.fit.PricingEngine,BRANCH,1.0,33,33
sample.fit.AddressProfile,BRANCH,1.0,71,71
sample.fit.NumberRules,BRANCH,1.0,37,37
sample.fit.TaxEngine,BRANCH,0.9565217391304348,69,66
sample.fit.CouponInfo,BRANCH,1.0,43,43
sample.fit.DeliveryPromiseEngine,BRANCH,1.0,47,47
sample.fit.DemoMain,BRANCH,1.0,1,1
sample.fit.FraudReviewEngine,BRANCH,1.0,51,51
