GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.codec.language,MatchRatingApproachEncoder,5,646,4,80,2,114,4,51,0,13
JaCoCo Coverage Report,org.apache.commons.codec.language,ColognePhonetic,15,462,4,61,6,73,4,39,0,8
JaCoCo Coverage Report,org.apache.commons.codec.language,DoubleMetaphone,178,2933,72,366,34,374,66,203,0,39
JaCoCo Coverage Report,org.apache.commons.codec.language,DaitchMokotoffSoundex.Branch,4,113,3,17,2,26,3,14,0,7
JaCoCo Coverage Report,org.apache.commons.codec.language,Soundex,0,258,1,33,0,58,1,29,0,13
JaCoCo Coverage Report,org.apache.commons.codec.language,AbstractCaverphone,0,24,0,2,0,6,0,4,0,3
JaCoCo Coverage Report,org.apache.commons.codec.language,DaitchMokotoffSoundex,36,496,9,71,5,115,9,44,0,13
JaCoCo Coverage Report,org.apache.commons.codec.language,Nysiis,0,454,0,71,0,83,0,46,0,9
JaCoCo Coverage Report,org.apache.commons.codec.language,RefinedSoundex,0,128,1,17,0,38,1,17,0,9
JaCoCo Coverage Report,org.apache.commons.codec.language,ColognePhonetic.CologneBuffer,0,39,0,2,0,11,0,6,0,5
JaCoCo Coverage Report,org.apache.commons.codec.language,Metaphone,28,662,17,135,11,131,17,80,0,12
JaCoCo Coverage Report,org.apache.commons.codec.language,SoundexUtils,0,99,0,20,0,22,0,15,0,5
JaCoCo Coverage Report,org.apache.commons.codec.language,Caverphone,0,38,0,2,0,9,0,6,0,5
JaCoCo Coverage Report,org.apache.commons.codec.language,DoubleMetaphone.DoubleMetaphoneResult,0,151,0,12,0,36,0,18,0,12
JaCoCo Coverage Report,org.apache.commons.codec.language,Caverphone2,0,308,0,2,0,65,0,3,0,2
JaCoCo Coverage Report,org.apache.commons.codec.language,ColognePhonetic.CologneInputBuffer,19,31,0,0,3,8,1,4,1,4
