GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,LuhnCheckDigit,0,38,0,2,0,7,0,4,0,3
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,ISSNCheckDigit,2,49,1,9,0,11,1,10,0,6
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,ECNumberCheckDigit,31,49,4,6,6,13,3,8,0,6
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,0,192,2,26,0,29,2,17,0,5
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,ISBN10CheckDigit,6,43,2,8,1,10,2,9,0,6
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,SedolCheckDigit,5,131,0,16,1,14,0,14,0,6
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,CUSIPCheckDigit,0,91,0,10,0,13,0,10,0,5
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,CheckDigitException,0,18,0,0,0,8,0,4,0,4
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,8,63,0,12,2,17,0,10,0,4
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,EAN13CheckDigit,2,38,1,3,0,6,1,5,0,4
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,ModulusTenCheckDigit,0,131,0,10,0,22,0,12,0,7
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,AbstractCheckDigit,0,50,0,20,0,5,0,15,0,5
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,ISINCheckDigit,6,109,1,7,1,17,1,7,0,4
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,VerhoeffCheckDigit,0,968,0,12,0,24,0,11,0,5
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,ABANumberCheckDigit,2,44,1,3,0,7,1,5,0,4
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,CASNumberCheckDigit,29,92,4,4,5,13,3,6,0,5
JaCoCo Coverage Report,org.apache.commons.validator.routines.checkdigit,ModulusCheckDigit,17,171,1,21,3,36,1,20,0,10
JaCoCo Coverage Report,org.apache.commons.validator.routines,EmailValidator,18,171,4,32,4,44,3,25,0,10
JaCoCo Coverage Report,org.apache.commons.validator.routines,RegexValidator,35,266,6,38,7,56,5,29,1,11
JaCoCo Coverage Report,org.apache.commons.validator.routines,ShortValidator,12,103,2,12,2,19,4,18,2,13
JaCoCo Coverage Report,org.apache.commons.validator.routines,FloatValidator,13,146,8,18,4,25,8,20,0,15
JaCoCo Coverage Report,org.apache.commons.validator.routines,IBANValidator.Validator,121,0,12,0,18,0,10,0,4,0
JaCoCo Coverage Report,org.apache.commons.validator.routines,ByteValidator,13,102,1,13,2,19,3,19,2,13
JaCoCo Coverage Report,org.apache.commons.validator.routines,DomainValidator.LazyHolder,0,13,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.validator.routines,BigIntegerValidator,6,145,3,25,1,19,3,26,0,15
JaCoCo Coverage Report,org.apache.commons.validator.routines,UrlValidator,320,141,86,10,88,32,57,10,10,9
JaCoCo Coverage Report,org.apache.commons.validator.routines,DomainValidator.IDNBUGHOLDER,10,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,org.apache.commons.validator.routines,DoubleValidator,9,146,3,23,1,20,3,27,0,17
JaCoCo Coverage Report,org.apache.commons.validator.routines,BigDecimalValidator,20,227,8,42,0,32,6,38,0,19
JaCoCo Coverage Report,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,0,38,0,0,0,14,0,2,0,2
JaCoCo Coverage Report,org.apache.commons.validator.routines,TimeValidator,29,93,0,0,4,15,4,13,4,13
JaCoCo Coverage Report,org.apache.commons.validator.routines,IBANValidator,1131,0,36,0,47,0,30,0,12,0
JaCoCo Coverage Report,org.apache.commons.validator.routines,AbstractCalendarValidator,40,409,5,77,6,89,6,53,2,16
JaCoCo Coverage Report,org.apache.commons.validator.routines,CurrencyValidator,0,52,0,6,0,15,0,8,0,5
JaCoCo Coverage Report,org.apache.commons.validator.routines,DomainValidator,249,6296,70,85,59,149,46,68,3,21
JaCoCo Coverage Report,org.apache.commons.validator.routines,InetAddressValidator,58,284,22,70,19,65,17,35,0,6
JaCoCo Coverage Report,org.apache.commons.validator.routines,CreditCardValidator,0,406,0,46,0,74,0,37,0,14
JaCoCo Coverage Report,org.apache.commons.validator.routines,IntegerValidator,0,114,2,12,0,21,2,20,0,15
JaCoCo Coverage Report,org.apache.commons.validator.routines,AbstractFormatValidator,26,72,1,7,4,15,5,10,4,7
JaCoCo Coverage Report,org.apache.commons.validator.routines,DomainValidator.Item,0,9,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.validator.routines,CalendarValidator,22,152,0,2,3,28,3,18,3,17
JaCoCo Coverage Report,org.apache.commons.validator.routines,LongValidator,0,104,0,10,0,19,0,20,0,15
JaCoCo Coverage Report,org.apache.commons.validator.routines,AbstractNumberValidator,34,326,12,85,4,77,10,55,0,16
JaCoCo Coverage Report,org.apache.commons.validator.routines,CodeValidator,0,140,1,23,0,39,1,23,0,12
JaCoCo Coverage Report,org.apache.commons.validator.routines,CreditCardValidator.new RegexValidator() {...},17,70,2,14,2,13,3,9,2,2
JaCoCo Coverage Report,org.apache.commons.validator.routines,DateValidator,32,164,0,2,6,30,2,19,2,18
JaCoCo Coverage Report,org.apache.commons.validator.routines,ISSNValidator,92,120,2,10,13,23,2,12,0,8
JaCoCo Coverage Report,org.apache.commons.validator.routines,ISBNValidator,56,129,7,11,7,28,6,15,0,12
JaCoCo Coverage Report,org.apache.commons.validator.routines,IBANValidatorStatus,33,0,0,0,6,0,1,0,1,0
JaCoCo Coverage Report,org.apache.commons.validator.routines,ISINValidator,29,1473,10,4,2,16,7,6,1,5
JaCoCo Coverage Report,org.apache.commons.validator.routines,PercentValidator,0,64,0,8,0,18,0,9,0,5
JaCoCo Coverage Report,org.apache.commons.validator.routines,DomainValidator.ArrayType,0,63,0,0,0,11,0,1,0,1
JaCoCo Coverage Report,org.apache.commons.validator,Validator,181,6,12,2,58,1,27,2,21,1
JaCoCo Coverage Report,org.apache.commons.validator,CreditCardValidator.Mastercard,24,5,4,0,2,1,3,1,1,1
JaCoCo Coverage Report,org.apache.commons.validator,ValidatorResult,74,0,6,0,16,0,12,0,9,0
JaCoCo Coverage Report,org.apache.commons.validator,Var,8,112,0,2,2,37,0,15,0,14
JaCoCo Coverage Report,org.apache.commons.validator,Constants,0,12,0,0,0,3,0,2,0,2
JaCoCo Coverage Report,org.apache.commons.validator,ISBNValidator,0,7,0,0,0,3,0,2,0,2
JaCoCo Coverage Report,org.apache.commons.validator,GenericTypeValidator,31,398,13,75,5,111,13,50,0,19
JaCoCo Coverage Report,org.apache.commons.validator,CreditCardValidator.Visa,19,5,6,0,1,1,4,1,1,1
JaCoCo Coverage Report,org.apache.commons.validator,ValidatorException,0,22,0,0,0,10,0,5,0,5
JaCoCo Coverage Report,org.apache.commons.validator,CreditCardValidator.Discover,15,5,4,0,1,1,3,1,1,1
JaCoCo Coverage Report,org.apache.commons.validator,UrlValidator,80,331,32,52,15,92,20,34,0,12
JaCoCo Coverage Report,org.apache.commons.validator,ValidatorResults,113,0,10,0,29,0,14,0,9,0
JaCoCo Coverage Report,org.apache.commons.validator,Msg,8,84,0,0,2,27,0,11,0,11
JaCoCo Coverage Report,org.apache.commons.validator,ValidatorResources,882,0,92,0,159,0,73,0,27,0
JaCoCo Coverage Report,org.apache.commons.validator,ValidatorAction,767,0,80,0,198,0,81,0,41,0
JaCoCo Coverage Report,org.apache.commons.validator,Field,1176,0,128,0,252,0,115,0,51,0
JaCoCo Coverage Report,org.apache.commons.validator,EmailValidator,74,122,20,10,21,41,13,11,0,9
JaCoCo Coverage Report,org.apache.commons.validator,CreditCardValidator.Amex,24,5,4,0,2,1,3,1,1,1
JaCoCo Coverage Report,org.apache.commons.validator,ValidatorResources.new Rule() {...},68,0,2,0,13,0,3,0,2,0
JaCoCo Coverage Report,org.apache.commons.validator,DateValidator,7,68,1,15,3,18,1,12,0,5
JaCoCo Coverage Report,org.apache.commons.validator,Form,353,0,34,0,84,0,34,0,17,0
JaCoCo Coverage Report,org.apache.commons.validator,Arg,8,79,0,0,2,33,0,13,0,13
JaCoCo Coverage Report,org.apache.commons.validator,FormSet,371,0,40,0,90,0,39,0,19,0
JaCoCo Coverage Report,org.apache.commons.validator,ValidatorResult.ResultStatus,28,0,0,0,12,0,6,0,6,0
JaCoCo Coverage Report,org.apache.commons.validator,GenericValidator,2,298,2,74,2,44,2,69,0,33
JaCoCo Coverage Report,org.apache.commons.validator,FormSetFactory,106,0,8,0,24,0,8,0,4,0
JaCoCo Coverage Report,org.apache.commons.validator,CreditCardValidator,24,141,6,24,6,33,4,16,0,5
JaCoCo Coverage Report,org.apache.commons.validator.util,Flags,7,116,0,12,2,30,0,20,0,14
JaCoCo Coverage Report,org.apache.commons.validator.util,ValidatorUtils,181,0,30,0,45,0,22,0,7,0
