GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,sample.fit,DeliveryPromiseEngine,0,99,0,42,0,36,0,25,0,3
JaCoCo Coverage Report,sample.fit,NumberRules,0,104,0,36,0,38,0,23,0,5
JaCoCo Coverage Report,sample.fit,CustomerAccount,0,171,1,47,0,48,1,33,0,10
JaCoCo Coverage Report,sample.fit,CheckoutContext,0,89,0,18,0,26,0,18,0,9
JaCoCo Coverage Report,sample.fit,ShippingEngine,1,74,1,29,1,29,1,18,0,3
JaCoCo Coverage Report,sample.fit,TextRules,0,106,0,35,0,33,0,22,0,4
JaCoCo Coverage Report,sample.fit,DeviceTrust,0,27,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,sample.fit,PromotionEngine,0,130,2,48,0,33,2,27,0,4
JaCoCo Coverage Report,sample.fit,ShippingSpeed,0,27,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,sample.fit,InventoryEngine,0,135,0,54,0,43,0,31,0,4
JaCoCo Coverage Report,sample.fit,AddressProfile,0,197,0,60,0,61,0,42,0,11
JaCoCo Coverage Report,sample.fit,InventoryState,0,33,0,0,0,6,0,1,0,1
JaCoCo Coverage Report,sample.fit,DeliveryWindow,0,27,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,sample.fit,PricingEngine,0,88,0,28,0,38,0,18,0,3
JaCoCo Coverage Report,sample.fit,RiskEngine,0,99,0,34,0,29,0,20,0,3
JaCoCo Coverage Report,sample.fit,FraudReviewEngine,0,121,0,50,0,36,0,29,0,4
JaCoCo Coverage Report,sample.fit,CustomerTier,0,39,0,0,0,7,0,1,0,1
JaCoCo Coverage Report,sample.fit,PaymentMethod,0,33,0,0,0,6,0,1,0,1
JaCoCo Coverage Report,sample.fit,PaymentAttempt,0,92,0,21,0,35,0,19,0,7
JaCoCo Coverage Report,sample.fit,Region,0,33,0,0,0,6,0,1,0,1
JaCoCo Coverage Report,sample.fit,CheckoutDecisionEngine,8,343,5,71,2,90,4,38,0,4
JaCoCo Coverage Report,sample.fit,ExceptionRules,0,137,0,36,0,39,0,24,0,5
JaCoCo Coverage Report,sample.fit,TaxEngine,2,123,1,44,1,31,1,27,0,4
JaCoCo Coverage Report,sample.fit,AccountStatus,0,33,0,0,0,6,0,1,0,1
JaCoCo Coverage Report,sample.fit,ProductBundle,0,116,0,28,0,42,0,23,0,9
JaCoCo Coverage Report,sample.fit,LoyaltyEngine,0,91,0,33,0,33,0,21,0,3
JaCoCo Coverage Report,sample.fit,CustomerProfile,0,159,0,43,0,58,0,34,0,11
JaCoCo Coverage Report,sample.fit,CouponInfo,0,141,0,38,0,43,0,27,0,8
JaCoCo Coverage Report,sample.fit,FraudSignal,0,170,0,40,0,46,0,30,0,10
JaCoCo Coverage Report,sample.fit,DemoMain,0,169,0,0,0,20,0,1,0,1
JaCoCo Coverage Report,sample.fit,InventoryItem,0,191,0,54,0,58,0,40,0,12
JaCoCo Coverage Report,sample.fit,DeviceProfile,0,183,0,54,0,61,0,39,0,11
JaCoCo Coverage Report,sample.fit,AccountPolicyEngine,6,136,4,48,1,47,3,28,0,4
