GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Codec,org.apache.commons.codec.language,MatchRatingApproachEncoder,48,613,31,53,16,100,31,24,0,13
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic,22,455,9,56,9,70,9,34,0,8
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone,1609,1502,293,145,200,208,193,76,6,33
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.Branch,12,105,4,16,3,25,4,13,0,7
Apache Commons Codec,org.apache.commons.codec.language,Soundex,11,258,7,27,4,54,7,23,0,13
Apache Commons Codec,org.apache.commons.codec.language,AbstractCaverphone,0,24,0,2,0,6,0,4,0,3
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex,85,491,13,67,8,112,13,40,0,13
Apache Commons Codec,org.apache.commons.codec.language,Nysiis,53,401,18,53,12,71,16,30,0,9
Apache Commons Codec,org.apache.commons.codec.language,RefinedSoundex,4,124,3,15,2,36,3,15,0,9
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneBuffer,0,39,0,2,0,11,0,6,0,5
Apache Commons Codec,org.apache.commons.codec.language,Metaphone,259,431,78,74,55,87,60,37,0,12
Apache Commons Codec,org.apache.commons.codec.language,SoundexUtils,5,94,3,17,2,20,4,11,1,4
Apache Commons Codec,org.apache.commons.codec.language,Caverphone,0,38,0,2,0,9,0,6,0,5
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone.DoubleMetaphoneResult,7,144,2,10,1,35,2,16,0,12
Apache Commons Codec,org.apache.commons.codec.language,Caverphone2,0,314,0,2,0,65,0,3,0,2
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneInputBuffer,19,31,0,0,3,8,1,4,1,4
Apache Commons Codec,org.apache.commons.codec.language,Caverphone1,0,301,1,3,0,62,1,3,0,2
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.Rule,28,83,0,18,2,17,1,15,1,6
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneOutputBuffer,0,61,0,16,0,13,0,11,0,3
Apache Commons Codec,org.apache.commons.codec.cli,Digest,302,0,36,0,54,0,28,0,10,0
Apache Commons Codec,org.apache.commons.codec.digest,HmacUtils,71,402,1,5,12,80,9,54,8,52
Apache Commons Codec,org.apache.commons.codec.digest,GitIdentifiers.FileMode,19,167,6,0,7,9,4,2,1,2
Apache Commons Codec,org.apache.commons.codec.digest,Sha2Crypt,63,760,6,36,11,125,6,24,0,9
Apache Commons Codec,org.apache.commons.codec.digest,Blake3,31,1086,0,18,4,81,2,29,2,20
Apache Commons Codec,org.apache.commons.codec.digest,Blake3.EngineState,92,90,4,4,17,24,6,5,3,4
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash3.IncrementalHash32,38,16,3,1,7,7,3,2,0,2
Apache Commons Codec,org.apache.commons.codec.digest,PureJavaCrc32C,256,8245,8,2,20,15,8,6,0,6
Apache Commons Codec,org.apache.commons.codec.digest,UnixCrypt,0,5920,0,24,0,146,0,26,0,14
Apache Commons Codec,org.apache.commons.codec.digest,MessageDigestAlgorithms,0,63,0,0,0,1,0,1,0,1
Apache Commons Codec,org.apache.commons.codec.digest,HmacAlgorithms,0,59,0,0,0,12,0,4,0,4
Apache Commons Codec,org.apache.commons.codec.digest,Crc16,0,4329,0,2,0,43,0,26,0,25
Apache Commons Codec,org.apache.commons.codec.digest,DigestUtils,173,456,3,3,39,124,34,108,32,107
Apache Commons Codec,org.apache.commons.codec.digest,Blake3.ChunkState,0,130,0,6,0,27,0,8,0,5
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash3.IncrementalHash32x86,224,66,12,6,37,17,11,6,2,4
Apache Commons Codec,org.apache.commons.codec.digest,GitIdentifiers,34,54,2,0,7,10,3,6,2,6
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash2,16,301,4,12,2,50,6,14,2,6
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash3,64,1020,11,29,5,189,11,47,0,26
Apache Commons Codec,org.apache.commons.codec.digest,MurmurHash,3,120,0,0,1,2,1,2,1,2
Apache Commons Codec,org.apache.commons.codec.digest,GitIdentifiers.TreeIdBuilder,58,232,6,10,11,37,6,16,2,12
Apache Commons Codec,org.apache.commons.codec.digest,PureJavaCrc32,119,8390,4,6,7,20,4,11,0,7
Apache Commons Codec,org.apache.commons.codec.digest,XXHash32,61,372,3,13,7,72,3,14,0,9
Apache Commons Codec,org.apache.commons.codec.digest,Crc16.Builder,0,36,0,0,0,10,0,6,0,6
Apache Commons Codec,org.apache.commons.codec.digest,Crypt,8,42,2,6,2,12,2,7,0,5
Apache Commons Codec,org.apache.commons.codec.digest,Md5Crypt,31,374,3,27,3,70,5,21,2,9
Apache Commons Codec,org.apache.commons.codec.digest,Blake3.Output,14,72,0,4,1,21,1,4,1,2
Apache Commons Codec,org.apache.commons.codec.digest,B64,3,69,0,4,1,12,1,6,1,4
Apache Commons Codec,org.apache.commons.codec.digest,GitIdentifiers.DirectoryEntry,35,46,5,3,8,8,5,3,2,2
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodec.Context,59,3,0,0,2,1,1,1,1,1
Apache Commons Codec,org.apache.commons.codec.binary,StringUtils,38,125,11,13,7,31,9,24,0,21
Apache Commons Codec,org.apache.commons.codec.binary,Base32OutputStream,0,68,0,0,0,13,0,6,0,6
Apache Commons Codec,org.apache.commons.codec.binary,Base58InputStream,0,15,0,0,0,5,0,3,0,3
Apache Commons Codec,org.apache.commons.codec.binary,Base32,299,2480,14,76,29,173,14,58,1,21
Apache Commons Codec,org.apache.commons.codec.binary,Base16OutputStream.Builder,0,17,0,0,0,5,0,3,0,3
Apache Commons Codec,org.apache.commons.codec.binary,Hex,48,502,5,21,11,75,7,38,2,30
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodecOutputStream,13,141,1,15,6,32,2,15,1,8
