GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,LuhnCheckDigit,4,34,1,1,0,7,1,3,0,3
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,ISSNCheckDigit,32,19,8,2,6,5,7,4,2,4
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,ECNumberCheckDigit,62,18,10,0,14,5,8,3,3,3
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,12,180,7,21,0,29,7,12,0,5
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,ISBN10CheckDigit,30,19,8,2,6,5,7,4,2,4
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,SedolCheckDigit,97,39,16,0,11,4,12,2,4,2
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,CUSIPCheckDigit,8,83,5,5,0,13,4,6,0,5
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,CheckDigitException,0,18,0,0,0,8,0,4,0,4
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,18,53,5,7,5,14,5,5,0,4
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,EAN13CheckDigit,10,30,1,3,1,5,2,4,1,3
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,ModulusTenCheckDigit,0,131,0,10,0,22,0,12,0,7
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,AbstractCheckDigit,1,49,2,18,0,5,2,13,0,5
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,ISINCheckDigit,6,109,1,7,1,17,1,7,0,4
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,VerhoeffCheckDigit,2,966,1,11,0,24,1,10,0,5
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,ABANumberCheckDigit,6,40,3,1,0,7,2,4,0,4
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,CASNumberCheckDigit,51,70,6,2,10,8,6,3,2,3
Apache Commons Validator,org.apache.commons.validator.routines.checkdigit,ModulusCheckDigit,12,176,2,20,1,38,2,19,0,10
Apache Commons Validator,org.apache.commons.validator.routines,EmailValidator,85,104,23,13,16,32,16,12,3,7
Apache Commons Validator,org.apache.commons.validator.routines,RegexValidator,21,280,8,36,6,57,7,27,0,12
Apache Commons Validator,org.apache.commons.validator.routines,ShortValidator,0,115,1,13,0,21,1,21,0,15
Apache Commons Validator,org.apache.commons.validator.routines,FloatValidator,33,126,13,13,8,21,9,19,0,15
Apache Commons Validator,org.apache.commons.validator.routines,IBANValidator.Validator,18,103,4,8,3,15,6,4,2,2
Apache Commons Validator,org.apache.commons.validator.routines,ByteValidator,0,115,2,12,0,21,2,20,0,15
Apache Commons Validator,org.apache.commons.validator.routines,DomainValidator.LazyHolder,0,13,0,0,0,2,0,1,0,1
Apache Commons Validator,org.apache.commons.validator.routines,BigIntegerValidator,13,138,7,21,1,19,6,23,0,15
Apache Commons Validator,org.apache.commons.validator.routines,UrlValidator,267,194,77,19,73,47,46,21,6,13
Apache Commons Validator,org.apache.commons.validator.routines,DomainValidator.IDNBUGHOLDER,0,10,0,0,0,3,0,2,0,2
Apache Commons Validator,org.apache.commons.validator.routines,DoubleValidator,11,144,6,20,0,21,5,25,0,17
Apache Commons Validator,org.apache.commons.validator.routines,BigDecimalValidator,29,218,17,33,0,32,14,30,0,19
Apache Commons Validator,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,0,38,0,0,0,14,0,2,0,2
Apache Commons Validator,org.apache.commons.validator.routines,TimeValidator,0,122,0,0,0,19,0,17,0,17
Apache Commons Validator,org.apache.commons.validator.routines,IBANValidator,114,1017,21,15,15,32,14,16,0,12
Apache Commons Validator,org.apache.commons.validator.routines,AbstractCalendarValidator,88,361,26,56,14,81,24,35,1,17
Apache Commons Validator,org.apache.commons.validator.routines,CurrencyValidator,0,52,1,5,0,15,1,7,0,5
Apache Commons Validator,org.apache.commons.validator.routines,DomainValidator,225,6320,78,77,63,145,65,49,1,23
Apache Commons Validator,org.apache.commons.validator.routines,InetAddressValidator,133,209,51,41,33,51,36,16,0,6
Apache Commons Validator,org.apache.commons.validator.routines,CreditCardValidator,48,358,13,33,9,65,9,28,1,13
Apache Commons Validator,org.apache.commons.validator.routines,IntegerValidator,2,112,3,11,1,20,3,19,0,15
Apache Commons Validator,org.apache.commons.validator.routines,AbstractFormatValidator,0,98,1,7,0,19,1,14,0,11
Apache Commons Validator,org.apache.commons.validator.routines,DomainValidator.Item,0,9,0,0,0,4,0,1,0,1
Apache Commons Validator,org.apache.commons.validator.routines,CalendarValidator,46,128,2,0,11,20,3,18,2,18
Apache Commons Validator,org.apache.commons.validator.routines,LongValidator,0,104,0,10,0,19,0,20,0,15
Apache Commons Validator,org.apache.commons.validator.routines,AbstractNumberValidator,77,283,30,67,14,67,24,41,1,15
Apache Commons Validator,org.apache.commons.validator.routines,CodeValidator,6,134,4,20,2,37,4,20,0,12
Apache Commons Validator,org.apache.commons.validator.routines,CreditCardValidator.new RegexValidator() {...},50,37,13,3,9,6,9,3,2,2
Apache Commons Validator,org.apache.commons.validator.routines,DateValidator,4,192,1,1,1,35,1,20,0,20
Apache Commons Validator,org.apache.commons.validator.routines,ISSNValidator,118,94,7,5,18,18,5,9,0,8
Apache Commons Validator,org.apache.commons.validator.routines,ISBNValidator,65,120,10,8,10,25,8,13,0,12
Apache Commons Validator,org.apache.commons.validator.routines,IBANValidatorStatus,0,33,0,0,0,6,0,1,0,1
Apache Commons Validator,org.apache.commons.validator.routines,ISINValidator,29,1473,10,4,2,16,7,6,1,5
