GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fit-bench,sample.fit,DeliveryPromiseEngine,43,56,22,20,12,24,14,11,0,3
fit-bench,sample.fit,NumberRules,4,100,1,35,1,37,1,22,0,5
fit-bench,sample.fit,CustomerAccount,52,119,25,23,14,34,17,17,0,10
fit-bench,sample.fit,CheckoutContext,34,55,14,4,7,19,9,9,0,9
fit-bench,sample.fit,ShippingEngine,7,68,8,22,7,23,8,11,0,3
fit-bench,sample.fit,TextRules,16,90,9,26,7,26,9,13,0,4
fit-bench,sample.fit,DeviceTrust,0,27,0,0,0,5,0,1,0,1
fit-bench,sample.fit,PromotionEngine,54,76,28,22,13,20,20,9,0,4
fit-bench,sample.fit,ShippingSpeed,0,27,0,0,0,5,0,1,0,1
fit-bench,sample.fit,InventoryEngine,9,126,4,50,4,39,3,28,0,4
fit-bench,sample.fit,AddressProfile,21,176,16,44,11,50,16,26,0,11
fit-bench,sample.fit,InventoryState,0,33,0,0,0,6,0,1,0,1
fit-bench,sample.fit,DeliveryWindow,0,27,0,0,0,5,0,1,0,1
fit-bench,sample.fit,PricingEngine,49,39,15,13,17,21,8,10,0,3
fit-bench,sample.fit,RiskEngine,70,29,24,10,18,11,13,7,0,3
fit-bench,sample.fit,FraudReviewEngine,52,69,27,23,13,23,18,11,0,4
fit-bench,sample.fit,CustomerTier,0,39,0,0,0,7,0,1,0,1
fit-bench,sample.fit,PaymentMethod,0,33,0,0,0,6,0,1,0,1
fit-bench,sample.fit,PaymentAttempt,5,87,4,17,4,31,4,15,0,7
fit-bench,sample.fit,Region,0,33,0,0,0,6,0,1,0,1
fit-bench,sample.fit,CheckoutDecisionEngine,265,86,63,13,67,25,34,8,0,4
fit-bench,sample.fit,ExceptionRules,28,109,8,28,8,31,6,18,0,5
fit-bench,sample.fit,TaxEngine,29,96,18,27,11,21,16,12,0,4
fit-bench,sample.fit,AccountStatus,0,33,0,0,0,6,0,1,0,1
fit-bench,sample.fit,ProductBundle,7,109,5,23,4,38,5,18,0,9
fit-bench,sample.fit,LoyaltyEngine,45,46,15,18,17,16,10,11,0,3
fit-bench,sample.fit,CustomerProfile,23,136,16,27,11,47,14,20,0,11
fit-bench,sample.fit,CouponInfo,38,103,18,20,13,30,15,12,0,8
fit-bench,sample.fit,FraudSignal,22,148,14,26,4,42,12,18,0,10
fit-bench,sample.fit,DemoMain,169,0,0,0,20,0,1,0,1,0
fit-bench,sample.fit,InventoryItem,25,166,14,40,5,53,11,29,0,12
fit-bench,sample.fit,DeviceProfile,23,160,18,36,12,49,17,22,0,11
fit-bench,sample.fit,AccountPolicyEngine,62,80,28,24,17,31,18,13,0,4
